Event Name,StartDateTime,EndDateTime,Timezone,Location,Desc,Category,Lanes
CONFIG,EventTitle,2026 USAC Road Racing - Apex Motor Club (Feb 6-8, 2026),,,,,
Transporter Load-in,02/04/2026 07:30,02/04/2026 08:00,America/Phoenix,"Staging (End of Ralston Road) - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",USAC/PMNA/Yokohama,Ops,OPS
Apex Radical Warm Up,02/07/2026 11:10,02/07/2026 11:25,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex Radical
PSCUW Qualifying - Pre-Grid Closes,02/07/2026 11:10,02/07/2026 11:10,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Porsche Hospitality - Lunch (PSCUW),02/07/2026 11:00,02/07/2026 13:30,America/Phoenix,"Porsche Hospitality - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Qualifying - Transit to Pit Lane,02/07/2026 11:30,02/07/2026 11:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Qualifying - Green Flag,02/07/2026 11:40,02/07/2026 11:40,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
PSCUW Qualifying,02/07/2026 11:40,02/07/2026 12:00,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
Miata Qualifying,02/07/2026 12:15,02/07/2026 12:35,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Miata
Apex Radical Qualifying,02/07/2026 12:50,02/07/2026 13:10,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex Radical
Apex GT Challenge Race,02/07/2026 13:25,02/07/2026 13:55,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex GT
PSCUW Race 1 - Pre-Grid Open,02/07/2026 13:45,02/07/2026 13:45,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Race 1 - Pre-Grid Close,02/07/2026 14:15,02/07/2026 14:15,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Race 1 - Transit to Pit Lane,02/07/2026 14:35,02/07/2026 14:35,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Race 1 - Formation Lap,02/07/2026 14:40,02/07/2026 14:40,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
PSCUW Race 1 - Green Flag,02/07/2026 14:45,02/07/2026 14:45,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
PSCUW Race 1,02/07/2026 14:45,02/07/2026 15:25,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
Apex Radical Race,02/07/2026 15:40,02/07/2026 16:10,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex Radical
Miata Race,02/07/2026 16:25,02/07/2026 16:55,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Miata
Al Kamel North America Track Test,02/08/2026 07:30,02/08/2026 07:45,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,OPS
Registration Hours (PSCUW),02/08/2026 07:30,02/08/2026 12:30,America/Phoenix,"Outside Drivers Lounge (registration tent) - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","PDF line appears as '7:30 PM–12:30 PM' (likely OCR/typo); interpreted as AM–PM",Ops,Porsche Sprint Challenge USA West
Porsche Hospitality - Breakfast (PSCUW),02/08/2026 08:00,02/08/2026 10:00,America/Phoenix,"Porsche Hospitality - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Tech (PSCUW),02/08/2026 09:00,02/08/2026 13:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Porsche GT Track Day - Recon Laps,02/08/2026 09:30,02/08/2026 09:50,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche GT Track Day
PSCUW Warm-Up,02/08/2026 10:05,02/08/2026 10:35,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
Porsche GT Track Day - Session 1,02/08/2026 10:45,02/08/2026 11:45,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche GT Track Day
Porsche Hospitality - Lunch (PSCUW),02/08/2026 11:00,02/08/2026 13:00,America/Phoenix,"Porsche Hospitality - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Porsche GT Track Day - Break,02/08/2026 11:45,02/08/2026 12:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche GT Track Day
PSCUW Race 2 - Pre-Grid Open,02/08/2026 11:30,02/08/2026 11:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Race 2 - Pre-Grid Close,02/08/2026 12:00,02/08/2026 12:00,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Race 2 - Transit to Pit Lane,02/08/2026 12:20,02/08/2026 12:20,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Race 2 - Formation Lap,02/08/2026 12:25,02/08/2026 12:25,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
PSCUW Race 2 - Green Flag,02/08/2026 12:30,02/08/2026 12:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
PSCUW Race 2,02/08/2026 12:30,02/08/2026 13:10,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
Porsche GT Track Day - Session 2,02/08/2026 13:30,02/08/2026 14:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche GT Track Day
Porsche GT Track Day - Hot Laps,02/08/2026 14:30,02/08/2026 16:00,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche GT Track Day
